Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;
950;ADMINISTRAÇÃO DA PARTICIPAÇÃO CÍVICA;Relativo à realização processos eleitorais para escolha dos representantes dos cidadãos (sufrágio universal), à realização de processos referendários, ao processamento de outros atos de participação dos cidadãos na gestão de assuntos públicos e, ainda, à atribuição de distinções honoríficas.;;;"A audição pública no âmbito de um determinado processo, deve ser considerada junto do processo respetivo - por exemplo, a audição pública no âmbito da elaboração de uma lei ou regulamento deve ser considerada em ""Ordenamento jurídico e normativo/ Elaboração de diplomas jurídico-normativos e de normas técnicas"" (100.10).#";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
950.10;Administração eleitoral;Compreende as atividades de organização dos processos de sufrágio universal (nacional, regional e local) para eleições e para referendos, bem como o respetivo apuramento, transmissão e difusão de resultados.;Expediente administrativo produzido no âmbito da organização dos processos eleitoral e referendário#;"Cadernos eleitorais#
Boletins de voto#
Listas apresentadas a eleições#
Atas das assembleias de voto#
Atas das assembleias de apuramento final#";"A eleição para estruturas internas de serviços públicos (por exemplo, para órgãos de administração e gestão de escolas, para Conselhos, Comissões ou outros) deve ser considerada em ""Administração de relações de trabalho/ Estabelecimento e cessação de relações de trabalho"" (250.10).#
O registo de cidadãos eleitores e o registo de eleitos devem ser considerados em ""Prestação de serviços de identificação e registo/ Registo de dados de identificação e caracterização de entidades ou atos"" (400.10).#
Os processos de atualização do recenseamento eleitoral, incluindo o processamento de pedidos de atualização de dados individuais, devem ser considerados em ""Prestação de serviços de identificação e registo/ Registo de dados de identificação e caracterização de entidades ou atos"" (400.10).#";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
950.10.001;Marcação de atos eleitorais e referendários;"Definição de data para a realização de atos eleitorais e referendários.
Inicia com a apresentação da proposta de data e termina com a publicação da decisão.
Inclui consulta de entidades, decisão e comunicação da data.";"Referendos nacionais, regionais e locais#
Eleições legislativas#
Eleições para a presidência da república#
Eleições regionais e autárquicas#
Eleições dos orgãos de soberania, das regiões autónomas, do poder local e do Conselho das Comunidades Portuguesas#";;;"DL 319-A/76#
Lei 14/79#
DL 267/80#
Lei Orgânica 1/2006#
Lei Orgânica 1/2001#
Lei 14/87#
Portaria 197/2015#";;PE;S;"PR#
Gov# 
AL#
GovReg#
";"CNE#
SGMAI#
Cns#";"Comunicar#
Comunicar#
Assessorar#";"950.10.200#
950.10.201#
950.10.400#
950.10.402#
950.10.600#";"Apreciação e admissão de candidaturas a atos eleitorais#
Apreciação e admissão de propostas de referendo#
Apoio técnico e logístico ao processo eleitoral e referendário#
Definição e atribuição de meios para propaganda eleitoral#
Controlo de operações de votação nas assembleias e mesas de voto#";"Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#";Reduzida;S;5;;"Critério Gestionário:
Prazo para imputação de responsabilidade pela gestão estratégica, decorrente de escrutínio público (eleições) ou da não recondução no mandato.
Considerou-se para a definição do prazo o tempo do mandato de maior duração: 5 anos.
";Data de encerramento do processo;E;"Densidade informacional:
Informação constante do PN 950.10.600 - Controlo de operações de votação nas assembleias e mesas de voto";;;;;;;;;;;
950.10.200;Apreciação e admissão de candidaturas a atos eleitorais;"Análise e aceitação de candidaturas apresentadas por partidos políticos, coligações eleitorais, candidaturas independentes e grupos de cidadãos.
Inicia com a apresentação das candidaturas e termina com a publicitação das listas.
Inclui verificação da legalidade e regularidade das candidaturas, notificação de aceitação ou de rejeição de candidaturas, reclamação da decisão e sorteio das listas apresentadas.";Situações de substituição e desistência de candidaturas e de candidatos#;;;"DL 319-A/76#
Lei 14/79#
DL 267/80#
Lei Orgânica 1/2006#
Lei Orgânica 1/2001#
Lei 14/87#
Portaria 197/2015#";;PE;S;"TC#
 STJ#";"PR#
";Comunicar#;"950.10.001#
950.10.400#";"Marcação de atos eleitorais e referendários#
Apoio técnico e logístico ao processo eleitoral e referendário#";"Sucessão (sucessor)#
Sucessão (antecessor)#";Média;S;;;;;;;;;;;;;;;;;
950.10.200.01;Apreciação e admissão de candidaturas a atos eleitorais: apresentação de candidaturas;"Receção de candidaturas a atos eleitorais.
Inicia com a apresentação das candidaturas e termina com a emissão de recibos ou comprovativos de receção.
Inclui a conferência das assinaturas.";;;;;;;;;;;;;;Média;;5;;"Critério legal:
[DL 319-A/76], de 3 de maio, artº 159 C “ Toda a documentação relativa à apresentação de candidaturas será conservada durante o prazo de cinco anos a contar da data de tomada de posse do candidato eleito.”
[Lei 14/87] de 29 de abril, artº 17 ""A documentação relativa à apresentação de candidaturas será conservada pelo Tribunal Constitucional durante o prazo de cinco anos a contar da data da proclamação dos resultados.""
Extensão desta disposição aos demais atos eleitorais e referendários.";Data da proclamação dos resultados;E;"Densidade informacional:
Informação sintetizada em
PN 950.10.200.02 - Apreciação e admissão de candidaturas a atos eleitorais: apreciação e decisão de candidaturas";;;;;;;;;;;
950.10.200.02;Apreciação e admissão de candidaturas a atos eleitorais: apreciação e decisão de candidaturas;"Análise e deliberação sobre as candidaturas apresentadas.
Inicia com a verificação das condições de admissibilidade e termina com a publicitação das listas.
Inclui verificação da legalidade e regularidade das candidaturas, notificação de aceitação ou de rejeição de candidaturas, reclamação da decisão e sorteio das listas apresentadas.
Inclui ainda o sorteio das listas apresentadas a constar nos boletins de voto.";;;;;;;;;;;;;;Média;;5;;"Critério legal:
[Lei 14/87] de 29 de abril, artº 17 ""A documentação relativa à apresentação de candidaturas será conservada pelo Tribunal Constitucional durante o prazo de cinco anos a contar da data da proclamação dos resultados.""
Extensão desta disposição aos demais atos eleitorais e referendários.";Data da proclamação dos resultados;C;"Densidade informacional:
Informação não recuperável noutro PN.

A informação sobre as candidaturas rejeitadas apenas é recuperável neste PN";;;;;;;;;;;
"950.10.201

";Apreciação e admissão de propostas de referendo;"Análise e aceitação de propostas de referendo.
Inicia com a apresentação das iniciativas de proposta e termina com o envio da resolução para convocação de referendo.
Inclui análise da proposta de referendo, consulta de entidades, notificação de interessados, discussão e votação, elaboração de projeto de resolução e decisão.";"Admissão de propostas para referendos nacionais, regionais e locais#
Propostas da iniciativa de deputados, de grupos parlamentares, do Governo ou de grupos de cidadãos eleitores#";;A fiscalização preventiva das iniciativas de referendo, ou da verificação da sua constitucionalidade e legalidade, deve ser considerada em “Administração da justiça” (600.30)#;"Lei 15-A/98#
Lei 4/2000#
Lei 2/2015#
DL 319-A/76#
Lei 14/79#
Lei 14/87#
Lei 1/2001#
DL 267/80#
Lei 1/2006#
Lei 15-A/98#
Lei 4/2000#";;PE;S;TC#;"PR#
AR#
ALR#
AM#
AF#
CM#";"Comunicar#
Iniciar#
Iniciar#
Iniciar#
Iniciar#
Iniciar#
";"150.10.100#
150.10.700#
150.10.701#
600.30.712#
950.10.001#
950.10.400#";"Definição de políticas setoriais#
Reunião de órgãos deliberativos#
Reunião de órgãos executivos#  
Fiscalização da legalidade e constitucionalidade de referendos#
Marcação de atos eleitorais e referendários#
Apoio técnico e logístico ao processo eleitoral e referendário#";"Cruzada#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#";Média;S;5;;"Critério legal:
[Lei 14/87] de 29 de abril, artº 17 ""A documentação relativa à apresentação de candidaturas será conservada pelo Tribunal Constitucional durante o prazo de cinco anos a contar da data da proclamação dos resultados.""
Extensão desta disposição aos demais atos eleitorais e referendários.";Data de encerramento do processo documental;C;"Densidade informacional:
Informação não recuperável noutro PN.

A informação sobre as candidaturas rejeitadas apenas é recuperável neste PN";;;;;;;;;;;
950.10.400;Apoio técnico e logístico ao processo eleitoral e referendário;"Organização, conceção e disponibilização de impressos, equipamentos e outros materiais necessários à realização dos atos eleitorais e referendários.
Inicia com a definição do calendário eleitoral e referendário e termina com a entrega dos materiais a utilizar.
Inclui definição do formato e da cor dos boletins de voto, organização dos cadernos de recenseamento eleitoral atendendo às mesas de voto, verificação do estado do material disponibilizado e comunicação dos procedimentos a observar.";"Preparação e entrega de boletins de voto#
Preparação e entrega de cadernos de eleitorais#
Preparação e entrega de manuais de procedimentos";;A elaboração gráfica dos manuais de procedimentos deverá ser considerada em 900.20.201 – Edição e publicação de conteúdos#;"DL 319-A/76#
Lei 14/79#
Lei 14/87#
Lei Orgânica 1/2001#
DL 267/80#
Lei Orgânica 1/2006#
Lei 15-A/98#
Lei Orgânica 4/2000#
Lei Orgânica 2/2015#
Lei 66-A/2007#
Portaria 197/2015#
 ";;PE;S;"SGMAI#
";"AL#
Cns#";"Assessorar#
Assessorar#";"150.20.300#
300.10.005#
350.30.001#
400.10.001#
500.10.001#
900.20.201#
950.10.001#
950.10.200#
950.10.201#
950.10.401#
950.10.600#
950.10.601#
950.10.602#";"Avaliação de atividades#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Cobrança de receitas e pagamento de despesas#
Registo civil#
Realização de auditorias#
Edição e publicação de conteúdos#
Marcação de atos eleitorais e referendários#
Apreciação e admissão de candidaturas a atos eleitorais#
Apreciação e admissão de propostas de referendo#
Constituição de assembleias de voto#
Controlo de operações de votação e apuramento parcial de resultados#
Constituição de assembleias de apuramento geral#
Apuramento geral de resultados#";"Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Suplementar#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetiza)#";Média;S;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1)
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de encerramento do processo documental;E;"Critério: Densidade informacional
Informação sintetizada complementarmente em:
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 950.10.602 - Apuramento geral de resultados eleitorais (nas atas do ato eleitoral)";;;;;;;;;;;
950.10.401;Constituição de assembleias de voto;"Composição das assembleias e mesas de voto.
Inicia com a determinação do local de funcionamento da assembleia de voto e termina com a afixação do mapa definitivo das assembleias e secções de voto através de edital.
Inclui determinação do número de secções de voto, escolha dos membros das mesas, designação e credenciação dos delegados das candidaturas concorrentes, afixação dos desdobramentos e anexações de secções de voto.";"Constituição das assembleias de voto#
Constituição das mesas de voto#";;;"DL 319-A/76#
Lei 14/79#
Lei 14/87#
Lei Orgânica 1/2001#
DL 267/80#
Lei Orgânica 1/2006#
Lei nº 15-A/98#
Lei Orgânica 4/2000#
Lei Orgânica 2/2015#";;PE;S;"AL#
DGACCP#";SGMAI#;Comunicar#;"350.30.001#
400.10.001#
950.10.400#
950.10.602#";"Cobrança de receitas e pagamento de despesas#
Registo civil#
Apoio técnico e logístico ao processo eleitoral e referendário#
Apuramento geral de resultados#";"Sucessão (sucessor)#
Complementar#
Cruzada#
Síntese (sintetiza)#";Média;S;1;;"Critério legal:
[Lei 1/2001], artº 152, nº 2 ""Terminado o prazo de recurso contencioso ou decididos os recursos que tenham sido apresentados, o tribunal da comarca com jurisdição na sede do distrito ou Região autónoma procede à destruição de todos os documentos, com exceção das atas das assembleias de voto, da ata da assembleia de apuramento geral e de uma das cópias dos cadernos eleitorais""
[Lei 15-A/98], artº 161, nº 2 ""Terminado o prazo de recurso contencioso ou decididos os recursos que tenham sido apresentados, o tribunal procede à destruição de todos os documentos, com excepção das actas das assembleias de voto e das actas das assembleias de apuramento.
Extensão destas disposições aos demais atos eleitorais e referendários.";Data de encerramento do processo;E;"Critério legal:
- [Lei 1/2001], artº 152, nº 2 ""Terminado o prazo de recurso contencioso ou decididos os recursos que tenham sido apresentados, o tribunal da comarca com jurisdição na sede do distrito ou Região autónoma procede à destruição de todos os documentos, com exceção das atas das assembleias de voto, da ata da assembleia de apuramento geral e de uma das cópias dos cadernos eleitorais""
- [Lei 15-A/98], artº 161, nº 2 ""Terminado o prazo de recurso contencioso ou decididos os recursos que tenham sido apresentados, o tribunal procede à destruição de todos os documentos, com excepção das actas das assembleias de voto e das actas das assembleias de apuramento.
Extensão destsa disposiçõeso aos demais atos eleitorais e referendários.";;;;;;;;;;;
950.10.402;Definição e atribuição de meios para propaganda eleitoral;"Determinação e concessão de meios necessários ao desenvolvimento das atividades de propaganda eleitoral.
Inicia com a determinação dos espaços e meios reservados para a propaganda eleitoral e termina com o estabelecimento de prazos para a remoção dos materiais utilizados.
Inclui estabelecimento e distribuição dos tempos reservados para o exercício do direito de antena, comunicação à entidade competente da publicação nos média de matérias respeitantes à campanha eleitoral, requisição de espaços e comunicação da sua disponibilização para ações de campanha eleitoral, estabelecimento de locais para afixação de materiais de propaganda eleitoral.";"Atribuição de tempos de antena e relações com os partidos políticos, no âmbito do desenrolar dos processos eleitorais e referendários#

";;;"Lei 14/79#
Lei Orgânica 1/2001#
Lei 19/2003#";;PE;S;CNE#;AL#;Assessorar#;950.10.001#;Marcação de atos eleitorais e referendários#;Sucessão (sucessor)#;Média;S;5;;"Critério legal:
Prazo prescricional do procedimento contraordenacional ([DL 433/82], Ilícito de mera ordenação social - artº 27 )

Nota: As occorrências que revelem indícios de ilicito criminal são encaminhadas para investigação criminal, sendo suspensa a contagem do Prazo de conservação administrativa";Data de encerramento do processo;E;"Critério legal:
- [Lei nº 1/2001], artº 152, nº 2 ""Terminado o prazo de recurso contencioso ou decididos os recursos que tenham sido apresentados, o tribunal da comarca com jurisdição na sede do distrito ou Região autónoma procede à destruição de todos os documentos, com exceção das atas das assembleias de voto, da ata da assembleia de apuramento geral e de uma das cópias dos cadernos eleitorais""
- [Lei nº 15-A/98], artº 161, nº 2 ""Terminado o prazo de recurso contencioso ou decididos os recursos que tenham sido apresentados, o tribunal procede à destruição de todos os documentos, com excepção das actas das assembleias de voto e das actas das assembleias de apuramento.
Extensão destas disposições aos demais atos eleitorais e referendários.";;;;;;;;;;;
