Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;
;850;EXECUÇÃO DE PROGRAMAS E DE AÇÕES DE INCENTIVO;"Relativo à execução de programas regulares ou ações eventuais de incentivo estratégico a pessoas, organismos ou projetos, no quadro das políticas de promoção e fomento de atividades económicas, culturais e sociais.
Inclui a atribuição de incentivos diretos e indiretos, bem como o acompanhamento ou controlo de projetos apoiados.
Relativo, ainda, à captação de apoios de entidades privadas e serviços públicos.";"Usualmente os incentivos revestem a forma de apoios financeiros, mas tal não é imperativo.#
Aplicável às entidades que efetuam a gestão de fundos ou programas de incentivo, bem como às entidades beneficiárias e/ou destinatárias daqueles programas e, ainda, às entidades que participam apenas na apreciação das candidaturas a apoios.#";;"A concessão de apoios de caráter social (prestações sociais, rendimento social de inserção, bolsa de estudo, etc.) dever ser considerada em ""Prestação de serviços de proteção e inclusão social/Atribuição de prestações sociais e auxílios económicos"" (650.10);
A contratualização da concessão de indemnizações compensatórias a entidades que prestam serviços de interesse geral deve ser considerada em ""Administração de direitos, bens e serviços"" (300).";;;;;;;;;;;;;;;;;;;;;;
;850.10;Atribuição e controlo de financiamentos e de ajudas diretas;"Compreende as atividades relacionadas com a gestão e acesso aos programas que disponibilizam apoio financeiro ou outras ajudas diretas às entidades beneficiárias, destinatárias ou elegíveis em cada medida de apoio, bem como as atividades de acompanhamento e controlo de projetos apoiados.
Compreende, igualmente, as ações que revestem a forma de apoios diretos eventuais não submetidos a concurso, bem como de atribuição de prémios com ou sem expressão financeira, sujeitos ou não a concurso, instituídos por entidades nacionais, regionais ou locais, públicas ou privadas.
Compreende, ainda, as atividades de captação de mecenas e gestão de apoios mecenáticos, bem como o processamento de pedidos de patrocínio.";"As entidades que administram fundos comunitários ou gerem programas de apoio deverão utilizar esta classe para os processos de gestão de cada concurso, incluindo a constituição de júris e respetivos trabalhos, bem como para todos os procedimentos de relacionamento com as entidades beneficiárias/destinatárias, no que se inclui a receção de candidaturas, a celebração de acordos/contratos de apoio, o acompanhamento e a avaliação dos projetos apoiados.#
As entidades posicionadas para receber os apoios deverão utilizar esta classe para a gestão da respetiva candidatura, ou seja, para a documentação necessária ao relacionamento com as entidades que concedem financiamentos ou ajudas diretas (apresentação de candidatura, relatórios da execução material e financeira, avaliação, encerramento de contas), podendo imputar a restante documentação técnica/administrativa à função sobre a qual o projeto incide (melhoramento de infraestruturas, desenvolvimento de sistemas de informação, organização de eventos, investigação científica, etc.).#
Quando haja lugar à apresentação de candidaturas a programas de incentivo geridos por entidades da União Europeia, as mesmas devem ser aqui consideradas.#";;;;;;;;;;;;;;;;;;;;;;;;
;850.10.001;Atribuição de subsídios à exploração de serviços públicos;"Pagamento compensatório dos custos ou perdas resultantes da exploração e prestação de serviços de interesse público que não são economicamente rentáveis.
Inicia com o pedido de pagamento do subsídio ou por iniciativa da entidade pagadora e termina com a decisão de deferimento ou indeferimento do respetivo pedido.
Inclui demonstração dos valores das transferências efetuadas ou a efetuar.
";Pedidos de pagamento de subsídios de exploração e indemnizações compensatórias#;;"O valor e a periodicidade dos pagamentos devem ser considerados em 150.20.202 – Preparação do orçamento#
Os pagamentos aos beneficiários deverão ser considerados em 350.30.001 – Cobrança de receitas e pagamento de despesas#";"Lei 69/2015#
Lei 50/2012#
DL 167/2008#


";"Orçamento anual#

";PE;S;"DGTF#
AL#
";"Gov#




";"Decidir#

";"150.10.700#
150.10.701#
150.20.202#
150.20.404#
350.10.500#
350.10.600#
350.10.700#
350.30.001#
350.30.004#
500.10.001#
500.10.301#
500.10.002#
";"Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Preparação do orçamento#
Prestação de contas#
Apuramento da transferência de verbas entre entidades#
Lançamento de receitas e de despesas#
Libertação de créditos#
Cobrança de receitas e pagamento de despesas#
Movimentação de contas bancárias#
Realização de auditorias#
Realização de fiscalização#
Fiscalização prévia do Tribunal de Contas#";"Cruzada#
Cruzada#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Suplementar#
Cruzada#";Elevada;N;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";Data de encerramento do processo;C;"Densidade informacional:
A informação deste PN não é recuperável noutro PN.
";;;;
;850.10.002;Formalização de candidaturas e acompanhamento de apoios regulares;"Atribuição de estímulos no âmbito de programas e acompanhamento da execução dos projetos ou ações financiadas.
Inicia com a submissão da candidatura e termina com a análise e avaliação do relatório final de execução da operação ou projeto apoiado.
Inclui instrução da candidatura, decisão, comunicação da atribuição do apoio, contratualização, acompanhamento e controlo da execução do projeto ou operação, apresentação de comprovativos de despesa, reajustamentos ao programa e elaboração de relatórios intercalares e relatório final, análise e avaliação dos relatórios, aprovação do encerramento do processo de apoio.
Inclui ainda a eventual suspensão ou rescisão do contrato de apoio.


";"Candidaturas recebidas por entidades que concedem  apoios#
Candidaturas apresentadas por entidades que beneficiam de apoios#
Eventual suspensão ou rescisão do contrato de apoio#
";;"A definição dos programas operacionais e outros programas de apoio deve ser considerada em 150.10.200 – Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
A monitorização e avaliação dos programas operacionais e outros programas de apoio devem ser consideradas em 150.10.600 – Avaliação de políticas e instrumentos de operacionalização#
A contratação de serviços ou aquisição de bens deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
Os pagamentos aos beneficiários devem ser considerados em 350.30.001 – Cobrança de receitas e pagamento de despesas#
Os empréstimos no âmbito de programas de apoio financeiro para regularização do pagamento de dívidas devem ser considerados em 350.40.401 – Contração e amortização de empréstimos#
A atribuição de prestações sociais e auxílios económicos dever ser considerada em “Prestação de serviços de proteção e inclusão social/Atribuição de prestações sociais e auxílios económicos” (650.10)#
A concretização do projeto deverá ser considerada na função respetiva#";"Despacho SEAL 5119-B/2015#
DL 6/2015#
DL 159/2014#
DL 137/2014#
RCM 73-B/2014#
RCM 39/2013#
Regulamento (UE, Euratom) 1311/2013#
Regulamento (UE) 1305/2013#
Regulamento (UE) 1304/2013#
Regulamento (UE) 1303/2013#
Regulamento (UE) 1301/2013#
Regulamento (UE) 1300/2013#
Regulamento (UE) 1299/2013#";"

";PC;S;EGAP#;AP#;"Iniciar#
";"150.10.100#
150.10.200#
150.10.300#
150.10.500#
150.10.600#
150.20.202#
150.20.404#
200.10.800#
200.30.302#
350.10.600#
400.10.052#
400.10.053#
400.30.001#
450.10.076#
450.20.505#
500.10.001#
500.10.301#
800.20.001#
800.20.002#
800.20.500#
900.10.001#
";"Definição de políticas setoriais#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional#
Elaboração de instrumentos de cooperação interinstitucional#
Avaliação de políticas e instrumentos de operacionalização#
Preparação do orçamento#
Prestação de contas#
Celebração de acordos e outros atos internacionais#
Execução de projetos de cooperação para o desenvolvimento#
Lançamento de receitas e de despesas#
Registo de empresas em autoridade setorial #
Registo de organizações da sociedade civil em autoridade setorial #
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Licenciamento ou autorização de atividades de apoio ao emprego e inserção no mercado de trabalho#
Classificação de bens sítios e áreas#
Realização de auditorias#
Realização de fiscalização#
Realização de estudos de investigação básica#
Execução de projetos de investigação aplicada#
Desenvolvimento experimental e aplicacional#
Conceção e realização de atividades ou acontecimentos artísticos#
";"Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Suplementar#
Sucessão (antecessor)#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Sucessão (antecessor)#
";Elevada;N;;;;;;;;;;
;850.10.002.01;Formalização de candidaturas e acompanhamento de apoios regulares: candidatura, decisão e execução;"Fases de candidatura, decisão e avaliação final de apoios regulares.  
Inicia com a submissão de candidatura e termina com a análise e avaliação do relatório final/relatório de atividades/produto final.
Inclui instrução de candidatura, análise da elegibilidade da candidatura, avaliação da candidatura, comunicação da decisão final, contratualização com a entidade/sujeito proponente, elaboração de relatório final/relatório de atividades/produto final e avaliação final do apoio atribuído.
";;;;;;;;;;;;;;;;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";A contar a partir do momento de encerramento do programa operacional, com excepção dos processos em curso à data de encerramento do programa. Neste caso o prazo é contado a partir da data de encerramento destes processos.;C;"Densidade informacional:
Não recuperável noutro processo com nível de detalhe para documentar a atividade.
Síntese de
PN 850.10.002.02 - Formalização de candidaturas e acompanhamento de apoios regulares: controlo de informação financeira.";;;;
;850.10.002.02;Formalização de candidaturas e acompanhamento de apoios regulares: controlo de informação financeira;"Fase de execução e acompanhamento financeiro de apoios regulares.
Inclui solicitação de pagamento, com os respetivos documentos comprovativos,  análise e verificação, proposta para pagamento, bem como acompanhamento da execução financeira de apoios regulares.

";;;;;;;;;;;;;;;;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";A contar a partir do momento de encerramento do programa. A contagem do prazo é suspensa enquanto o processo documental se encontra em contencioso.;E;"Densidade informacional:
Sintetizado no
PN 850.10.002.01 -Formalização de candidaturas e acompanhamento de apoios regulares: candidatura, decisão e execução.";;;;
;850.10.003;Formalização de candidaturas e acompanhamento de apoios pontuais;"Atribuição e acompanhamento de estímulos ou compensações a projetos ou situações não enquadráveis num plano de continuidade.
Inicia com a submissão da candidatura e termina com a análise e avaliação do relatório final de execução da operação ou projeto apoiado.
Inclui preparação e apresentação do pedido formal de apoio ou da candidatura, decisão, eventual contratualização, comunicação da atribuição do apoio e eventual apresentação de comprovativos de despesa.";"Apoios em situações de catástrofes naturais#
Apoios que saiam do âmbito dos programas de apoio estabelecidos#

";;"A contratação de serviços ou aquisição de bens devem ser considerados em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#
Os pagamentos aos beneficiários devem ser considerados em 350.30.001 – Cobrança de receitas e pagamento de despesas#
Os empréstimos no âmbito de programas de apoio financeiro para regularização do pagamento de dívidas devem ser considerados em 350.40.401 – Contração e amortização de empréstimos#
A atribuição de prestações sociais e auxílios económicos deve ser considerada em “Prestação de serviços de proteção e inclusão social/Atribuição de prestações sociais e auxílios económicos” (650.10)#
A concretização do projeto deve ser considerada na função respetiva#";"DL 55/2013#
Aviso 11367/2010#";"DL 55/2013#
Aviso 11367/2010#
Regulamento do apoio#";PC;S;EGAP#;AP#;"Iniciar#
Comunicar#";"150.10.100#
150.10.200#
150.10.300#
150.10.500#
150.10.600#
150.20.202#
150.20.404#
200.10.800#
200.30.302#
350.10.600#
400.10.052#
400.10.053#
400.30.001#
400.10.076#
450.20.505#
500.10.001#
500.10.301#
800.20.001#
800.20.002#
800.20.500#
900.10.001#
";"Definição de políticas setoriais#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional#
Elaboração de instrumentos de cooperação interinstitucional#
Avaliação de políticas e instrumentos de operacionalização#
Preparação do orçamento#
Prestação de contas#
Celebração de acordos e outros atos internacionais#
Execução de projetos de cooperação para o desenvolvimento#
Lançamento de receitas e de despesas#
Registo de empresas cinematográficas e audiovisuais#
Registo de organizações da sociedade civil em autoridade setorial#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Licenciamento ou atorização de atividades de apoio ao emprego e inserção no mercado de trabalho#
Classificação de bens sítios e áreas#
Realização de auditorias#
Realização de fiscalização#
Realização de estudos de investigação básica#
Execução de projetos de investigação aplicada#
Desenvolvimento experimental e aplicacional#
Conceção e realização de atividades ou acontecimentos artísticos#
";"Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Suplementar#
Sucessão (antecessor)#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Sucessão (antecessor)#
";Elevada;N;;;;;;;O GTAL propõe para este processo os mesmos critérios e soluções aplicados em 850.10.002 - Formalização de candidaturas e acompanhamento de apoios regulares;;;
;850.10.003.01;Formalização de candidaturas e acompanhamento de apoios pontuais: candidatura, decisão e execução;"Fases de candidatura, decisão e de execução e acompanhamento material de apoios pontuais.
Inicia com a submissão de candidatura e termina com a análise e avaliação do relatório final/relatório de atividades/produto final.
Inclui instrução de candidatura, análise da elegibilidade da candidatura, avaliação científica individual e final da candidatura, comunicação ao beneficiário da decisão final, contratualização com a entidade/sujeito proponente, acompanhamento e controlo da componente material do apoio, processos de atribuição de bolsas no âmbito do projeto (se aplicável), elaboração de relatório final/relatório de atividades/produto final e avaliação científica final do apoio atribuído.
";;;;;;;;;;;;;;;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";A contar a partir do momento de encerramento do programa. A contagem do prazo é suspensa enquanto o processo documental se encontra em contencioso.;C;"Densidade informacional:
Não recuperável noutro processo com nível de detalhe para documentar a atividade.
Síntese de
PN 850.10.003.02 - Formalização de candidaturas e acompanhamento de apoios pontuais: informação financeira.";;;;
;850.10.003.02;Formalização de candidaturas e acompanhamento de apoios pontuais: controlo de informação financeira ;"Fase de execução e acompanhamento financeiro de apoios pontuais.
Inclui solicitação de pagamento, com os respetivos documentos comprovativos,  análise e verificação, proposta para pagamento, bem como acompanhamento da execução financeira de apoios pontuais.

";;;;;;;;;;;;;;;;10;;"Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";"A contar a partir do momento de encerramento do programa.
A contagem do prazo é suspensa enquanto o processo documental se encontra em contencioso.";E;"Densidade informacional:
Sintetizado em 850.10.003.01 - Formalização de candidaturas e acompanhamento de apoios pontuais: execução.";;;;
;"850.10.005

";Formalização de candidaturas a ajudas diretas;"Atribuição de ajudas diretas como forma de garantir a estabilidade nos rendimentos, no âmbito de programas financiados.
Inicia com a submissão da candidatura e termina com decisão de concessão do apoio.
Inclui a instrução da candidatura, decisão, comunicação da atribuição do apoio, contratualização e controlo.";"Ajudas diretas ao setor primário#
";;;Lei 98/97#;"Diretiva(s) Comunitária(s)#
Regulamentos de atribuição de apoios financeiros#";PE;S;IFAP#;DRAP#;Assessorar#;"150.10.100#
150.10.500#
150.10.600#
150.20.202#
150.20.300#
150.20.404#
150.40.500#
200.10.800#
200.30.302#
300.30.008#
350.10.600#
400.30.001#
450.10.076#
450.10.444#
500.10.001#
500.10.301#
800.20.001#
800.20.002#
800.20.500#";"Definição de políticas setoriais#
Elaboração de instrumentos de cooperação interinstitucional#
Avaliação de políticas e instrumentos de operacionalização#
Preparação do orçamento#
Avaliação de atividades#
Prestação de contas#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Celebração de acordos e outros atos internacionais#
Execução de projetos de cooperação para o desenvolvimento#
Registo de documentos e informação#
Lançamento de receitas e de despesas#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Licenciamento ou autorização de atividades de apoio ao emprego e inserção no mercado de trabalho#
Reconhecimento de requisitos e competência técnica a entidades#
Realização de auditorias#
Realização de fiscalização#
Realização de estudos de investigação básica#
Execução de projetos de investigação aplicada#
Desenvolvimento experimental e aplicacional#";"Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Cruzada#
Cruzada#
Cruzada#";Elevada;S;10;;" Conjugação dos critérios:
- Legal
Prazo prescricional  da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1).
- Utilidade administrativa
Prazo decorrente da necessidade de consulta para apuramento da responsabilidade em sede de
PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração);
PN 500.10.301 - Realização de fiscalização (no que diz respeito à sua fiscalização).";"A contar a partir do momento de encerramento do programa.
A contagem do prazo é suspensa enquanto o processo documental se encontra em contencioso.";E;"Densidade informacional:
Informação síntese recuperável complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade)
PN 150.20.404 - Prestação de contas (síntese da informação orçamental e patrimonial)
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação/tipificação dos casos)
PN 300.30.008 - Registo de documentos e informação (identificação e caracterização)";;;;
